State,Year,State_Year,Gender,Leading_Cancer_Sites,Incidence_Counts,Incidence_Age_Adjusted_Rate,Death_Counts,Mortality_Age_Adjusted_Rate,Mortality_Incidence_Age_Adjusted_Rate_Ratio,Population,%_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,%_Low_birthweight,%_Adult_smoking,%_Adults_with_Obesity,%_Physically_Inactive,%_Excessive_Drinking,%_Uninsured,Primary_Care_Physicians_Rate,Mental_Health_Provider_Rate,%_With_Annual_Mammogram,%_Unemployed,%_Children_in_Poverty,Average_Daily_PM2.5,%_Severe_Housing_Problems,%_Adults_with_Diabetes,Median_Household_Income,%_Less_Than_18_Years_of_Age,%_65_and_Over,%_Black,%_American_Indian_&_Alaska_Native,%_Asian,%_Native_Hawaiian/Other_Pacific_Islander,%_Hispanic,%_Non_Hispanic_White,%_Female,%_Rural,Region
Hawaii,2010,Hawaii2010,Male,Colon and Rectum,400,53.53,114,15.75,0.29,683296,14.05,2.95,2.83,7.8,17.38,22.0,17.78,19.43,11.88,79.57,20.82,58.23,8.33,12.3,8.565506445672192,40.7,8.6,62016,18.18,11.26,1.36,0.48,29.24,16.9,9.32,42.7,48.58,34.96,West
Hawaii,2010,Hawaii2010,Male,Lung and Bronchus,414,56.66,324,44.73,0.79,683296,14.05,2.95,2.83,7.8,17.38,22.0,17.78,19.43,11.88,79.57,20.82,58.23,8.33,12.3,8.565506445672192,40.7,8.6,62016,18.18,11.26,1.36,0.48,29.24,16.9,9.32,42.7,48.58,34.96,West
Hawaii,2010,Hawaii2010,Male,Pancreas,118,15.69,82,11.13,0.71,683296,14.05,2.95,2.83,7.8,17.38,22.0,17.78,19.43,11.88,79.57,20.82,58.23,8.33,12.3,8.565506445672192,40.7,8.6,62016,18.18,11.26,1.36,0.48,29.24,16.9,9.32,42.7,48.58,34.96,West
Hawaii,2011,Hawaii2011,Female,Colon and Rectum,309,35.53,97,10.63,0.3,688528,14.43,3.0,2.9,7.85,17.18,23.56,18.04,20.28,9.33,79.57,11.12,61.95,8.1,17.28,8.565506445672192,34.23,8.24,55721,18.18,11.26,1.36,0.48,29.24,16.9,9.32,42.7,48.58,34.96,West
Hawaii,2011,Hawaii2011,Female,Lung and Bronchus,341,39.04,234,26.0,0.67,688528,14.43,3.0,2.9,7.85,17.18,23.56,18.04,20.28,9.33,79.57,11.12,61.95,8.1,17.28,8.565506445672192,34.23,8.24,55721,18.18,11.26,1.36,0.48,29.24,16.9,9.32,42.7,48.58,34.96,West
Hawaii,2011,Hawaii2011,Female,Pancreas,96,10.46,87,9.53,0.91,688528,14.43,3.0,2.9,7.85,17.18,23.56,18.04,20.28,9.33,79.57,11.12,61.95,8.1,17.28,8.565506445672192,34.23,8.24,55721,18.18,11.26,1.36,0.48,29.24,16.9,9.32,42.7,48.58,34.96,West
Hawaii,2011,Hawaii2011,Male,Colon and Rectum,429,56.16,138,18.4,0.33,691034,14.43,3.0,2.9,7.85,17.18,23.56,18.04,20.28,9.33,79.57,11.12,61.95,8.1,17.28,8.565506445672192,34.23,8.24,55721,18.18,11.26,1.36,0.48,29.24,16.9,9.32,42.7,48.58,34.96,West
Hawaii,2011,Hawaii2011,Male,Lung and Bronchus,423,56.8,309,41.83,0.74,691034,14.43,3.0,2.9,7.85,17.18,23.56,18.04,20.28,9.33,79.57,11.12,61.95,8.1,17.28,8.565506445672192,34.23,8.24,55721,18.18,11.26,1.36,0.48,29.24,16.9,9.32,42.7,48.58,34.96,West
Hawaii,2011,Hawaii2011,Male,Pancreas,119,16.05,103,13.36,0.83,691034,14.43,3.0,2.9,7.85,17.18,23.56,18.04,20.28,9.33,79.57,11.12,61.95,8.1,17.28,8.565506445672192,34.23,8.24,55721,18.18,11.26,1.36,0.48,29.24,16.9,9.32,42.7,48.58,34.96,West
Hawaii,2012,Hawaii2012,Female,Colon and Rectum,309,34.87,108,11.74,0.34,695606,14.32,3.0,2.88,7.88,16.52,23.33,18.1,20.26,9.88,71.59,232.27,64.5,7.8,19.32,8.565506445672192,36.26,8.26,57694,18.65,17.26,0.97,0.41,28.92,16.78,8.44,27.03,50.4,29.06,West
Hawaii,2012,Hawaii2012,Female,Lung and Bronchus,355,38.57,206,21.93,0.57,695606,14.32,3.0,2.88,7.88,16.52,23.33,18.1,20.26,9.88,71.59,232.27,64.5,7.8,19.32,8.565506445672192,36.26,8.26,57694,18.65,17.26,0.97,0.41,28.92,16.78,8.44,27.03,50.4,29.06,West
Hawaii,2012,Hawaii2012,Female,Pancreas,129,13.61,105,11.06,0.81,695606,14.32,3.0,2.88,7.88,16.52,23.33,18.1,20.26,9.88,71.59,232.27,64.5,7.8,19.32,8.565506445672192,36.26,8.26,57694,18.65,17.26,0.97,0.41,28.92,16.78,8.44,27.03,50.4,29.06,West
Hawaii,2012,Hawaii2012,Male,Colon and Rectum,391,49.8,123,16.25,0.33,699593,14.32,3.0,2.88,7.88,16.52,23.33,18.1,20.26,9.88,71.59,232.27,64.5,7.8,19.32,8.565506445672192,36.26,8.26,57694,18.65,17.26,0.97,0.41,28.92,16.78,8.44,27.03,50.4,29.06,West
Hawaii,2012,Hawaii2012,Male,Lung and Bronchus,426,55.1,289,38.37,0.7,699593,14.32,3.0,2.88,7.88,16.52,23.33,18.1,20.26,9.88,71.59,232.27,64.5,7.8,19.32,8.565506445672192,36.26,8.26,57694,18.65,17.26,0.97,0.41,28.92,16.78,8.44,27.03,50.4,29.06,West
Hawaii,2012,Hawaii2012,Male,Pancreas,120,14.96,96,12.44,0.83,699593,14.32,3.0,2.88,7.88,16.52,23.33,18.1,20.26,9.88,71.59,232.27,64.5,7.8,19.32,8.565506445672192,36.26,8.26,57694,18.65,17.26,0.97,0.41,28.92,16.78,8.44,27.03,50.4,29.06,West
Hawaii,2013,Hawaii2013,Female,Colon and Rectum,306,33.97,96,10.28,0.3,701564,14.43,3.1,2.93,7.93,16.1,23.06,19.0,20.55,9.4,67.27,116.63,59.96,6.8,19.25,8.565506445672192,23.95,9.16,58681,17.66,18.23,0.76,0.38,27.06,18.19,8.28,27.74,50.53,33.26,West
Hawaii,2013,Hawaii2013,Female,Lung and Bronchus,369,40.1,255,26.88,0.67,701564,14.43,3.1,2.93,7.93,16.1,23.06,19.0,20.55,9.4,67.27,116.63,59.96,6.8,19.25,8.565506445672192,23.95,9.16,58681,17.66,18.23,0.76,0.38,27.06,18.19,8.28,27.74,50.53,33.26,West
Hawaii,2013,Hawaii2013,Female,Pancreas,109,11.32,75,7.59,0.67,701564,14.43,3.1,2.93,7.93,16.1,23.06,19.0,20.55,9.4,67.27,116.63,59.96,6.8,19.25,8.565506445672192,23.95,9.16,58681,17.66,18.23,0.76,0.38,27.06,18.19,8.28,27.74,50.53,33.26,West
Hawaii,2013,Hawaii2013,Male,Colon and Rectum,414,51.19,149,18.57,0.36,707258,14.43,3.1,2.93,7.93,16.1,23.06,19.0,20.55,9.4,67.27,116.63,59.96,6.8,19.25,8.565506445672192,23.95,9.16,58681,17.66,18.23,0.76,0.38,27.06,18.19,8.28,27.74,50.53,33.26,West
Hawaii,2013,Hawaii2013,Male,Lung and Bronchus,501,63.0,301,38.09,0.6,707258,14.43,3.1,2.93,7.93,16.1,23.06,19.0,20.55,9.4,67.27,116.63,59.96,6.8,19.25,8.565506445672192,23.95,9.16,58681,17.66,18.23,0.76,0.38,27.06,18.19,8.28,27.74,50.53,33.26,West
Hawaii,2013,Hawaii2013,Male,Pancreas,132,16.52,104,13.0,0.79,707258,14.43,3.1,2.93,7.93,16.1,23.06,19.0,20.55,9.4,67.27,116.63,59.96,6.8,19.25,8.565506445672192,23.95,9.16,58681,17.66,18.23,0.76,0.38,27.06,18.19,8.28,27.74,50.53,33.26,West
Hawaii,2014,Hawaii2014,Female,Colon and Rectum,348,38.52,98,9.79,0.25,704261,14.43,3.1,2.93,7.95,16.1,22.94,18.68,20.55,8.65,65.58,145.51,62.86,5.47,16.85,8.565506445672192,24.98,8.96,59537,17.74,18.75,0.94,0.42,26.73,17.91,8.73,27.77,50.4,33.26,West
Hawaii,2014,Hawaii2014,Female,Lung and Bronchus,353,36.89,236,24.78,0.67,704261,14.43,3.1,2.93,7.95,16.1,22.94,18.68,20.55,8.65,65.58,145.51,62.86,5.47,16.85,8.565506445672192,24.98,8.96,59537,17.74,18.75,0.94,0.42,26.73,17.91,8.73,27.77,50.4,33.26,West
Hawaii,2014,Hawaii2014,Female,Pancreas,110,11.1,107,10.32,0.93,704261,14.43,3.1,2.93,7.95,16.1,22.94,18.68,20.55,8.65,65.58,145.51,62.86,5.47,16.85,8.565506445672192,24.98,8.96,59537,17.74,18.75,0.94,0.42,26.73,17.91,8.73,27.77,50.4,33.26,West
Hawaii,2014,Hawaii2014,Male,Colon and Rectum,377,45.24,148,17.95,0.4,711074,14.43,3.1,2.93,7.95,16.1,22.94,18.68,20.55,8.65,65.58,145.51,62.86,5.47,16.85,8.565506445672192,24.98,8.96,59537,17.74,18.75,0.94,0.42,26.73,17.91,8.73,27.77,50.4,33.26,West
Hawaii,2014,Hawaii2014,Male,Lung and Bronchus,435,53.65,329,40.13,0.75,711074,14.43,3.1,2.93,7.95,16.1,22.94,18.68,20.55,8.65,65.58,145.51,62.86,5.47,16.85,8.565506445672192,24.98,8.96,59537,17.74,18.75,0.94,0.42,26.73,17.91,8.73,27.77,50.4,33.26,West
Hawaii,2014,Hawaii2014,Male,Pancreas,113,13.78,96,11.79,0.86,711074,14.43,3.1,2.93,7.95,16.1,22.94,18.68,20.55,8.65,65.58,145.51,62.86,5.47,16.85,8.565506445672192,24.98,8.96,59537,17.74,18.75,0.94,0.42,26.73,17.91,8.73,27.77,50.4,33.26,West
Hawaii,2015,Hawaii2015,Female,Colon and Rectum,332,36.18,91,9.08,0.25,707788,14.26,3.16,2.9,7.86,14.06,22.46,19.8,20.54,8.8,66.74,152.79,62.5,4.75,17.63,8.565506445672192,27.34,10.58,62418,17.64,19.03,1.02,0.44,26.46,18.02,8.93,27.73,50.32,33.26,West
Hawaii,2015,Hawaii2015,Female,Lung and Bronchus,361,35.25,256,25.05,0.71,707788,14.26,3.16,2.9,7.86,14.06,22.46,19.8,20.54,8.8,66.74,152.79,62.5,4.75,17.63,8.565506445672192,27.34,10.58,62418,17.64,19.03,1.02,0.44,26.46,18.02,8.93,27.73,50.32,33.26,West
Hawaii,2015,Hawaii2015,Female,Pancreas,115,11.89,109,10.55,0.89,707788,14.26,3.16,2.9,7.86,14.06,22.46,19.8,20.54,8.8,66.74,152.79,62.5,4.75,17.63,8.565506445672192,27.34,10.58,62418,17.64,19.03,1.02,0.44,26.46,18.02,8.93,27.73,50.32,33.26,West
Hawaii,2015,Hawaii2015,Male,Colon and Rectum,387,46.95,99,11.92,0.25,715211,14.26,3.16,2.9,7.86,14.06,22.46,19.8,20.54,8.8,66.74,152.79,62.5,4.75,17.63,8.565506445672192,27.34,10.58,62418,17.64,19.03,1.02,0.44,26.46,18.02,8.93,27.73,50.32,33.26,West
Hawaii,2015,Hawaii2015,Male,Lung and Bronchus,469,56.01,333,39.67,0.71,715211,14.26,3.16,2.9,7.86,14.06,22.46,19.8,20.54,8.8,66.74,152.79,62.5,4.75,17.63,8.565506445672192,27.34,10.58,62418,17.64,19.03,1.02,0.44,26.46,18.02,8.93,27.73,50.32,33.26,West
Hawaii,2015,Hawaii2015,Male,Pancreas,136,16.17,110,12.73,0.79,715211,14.26,3.16,2.9,7.86,14.06,22.46,19.8,20.54,8.8,66.74,152.79,62.5,4.75,17.63,8.565506445672192,27.34,10.58,62418,17.64,19.03,1.02,0.44,26.46,18.02,8.93,27.73,50.32,33.26,West
Hawaii,2016,Hawaii2016,Female,Colon and Rectum,332,35.2,119,11.69,0.33,710710,13.09,3.06,2.88,7.84,13.73,21.9,18.72,19.84,6.7,67.52,163.2,63.26,3.93,17.8,8.565506445672192,27.45,8.76,67566,17.63,20.19,1.08,0.44,26.34,18.05,9.15,27.64,50.25,33.26,West
Hawaii,2016,Hawaii2016,Female,Lung and Bronchus,331,33.4,214,20.48,0.61,710710,13.09,3.06,2.88,7.84,13.73,21.9,18.72,19.84,6.7,67.52,163.2,63.26,3.93,17.8,8.565506445672192,27.45,8.76,67566,17.63,20.19,1.08,0.44,26.34,18.05,9.15,27.64,50.25,33.26,West
Hawaii,2016,Hawaii2016,Female,Pancreas,128,12.45,99,9.79,0.79,710710,13.09,3.06,2.88,7.84,13.73,21.9,18.72,19.84,6.7,67.52,163.2,63.26,3.93,17.8,8.565506445672192,27.45,8.76,67566,17.63,20.19,1.08,0.44,26.34,18.05,9.15,27.64,50.25,33.26,West
Hawaii,2016,Hawaii2016,Male,Colon and Rectum,400,48.35,113,13.26,0.27,718175,13.09,3.06,2.88,7.84,13.73,21.9,18.72,19.84,6.7,67.52,163.2,63.26,3.93,17.8,8.565506445672192,27.45,8.76,67566,17.63,20.19,1.08,0.44,26.34,18.05,9.15,27.64,50.25,33.26,West
Hawaii,2016,Hawaii2016,Male,Lung and Bronchus,504,59.82,329,39.32,0.66,718175,13.09,3.06,2.88,7.84,13.73,21.9,18.72,19.84,6.7,67.52,163.2,63.26,3.93,17.8,8.565506445672192,27.45,8.76,67566,17.63,20.19,1.08,0.44,26.34,18.05,9.15,27.64,50.25,33.26,West
Hawaii,2016,Hawaii2016,Male,Pancreas,130,15.32,96,11.32,0.74,718175,13.09,3.06,2.88,7.84,13.73,21.9,18.72,19.84,6.7,67.52,163.2,63.26,3.93,17.8,8.565506445672192,27.45,8.76,67566,17.63,20.19,1.08,0.44,26.34,18.05,9.15,27.64,50.25,33.26,West
Hawaii,2017,Hawaii2017,Female,Colon and Rectum,331,35.13,112,10.66,0.3,710227,13.43,3.21,3.21,7.88,13.08,21.88,20.06,19.56,5.24,65.97,170.91,63.26,12.83,15.85,27.03,27.03,9.02,66890,17.52,21.7,0.88,0.41,26.55,18.55,9.13,26.78,50.72,33.26,West
Hawaii,2017,Hawaii2017,Female,Lung and Bronchus,388,37.41,221,20.56,0.55,710227,13.43,3.21,3.21,7.88,13.08,21.88,20.06,19.56,5.24,65.97,170.91,63.26,12.83,15.85,27.03,27.03,9.02,66890,17.52,21.7,0.88,0.41,26.55,18.55,9.13,26.78,50.72,33.26,West
Hawaii,2017,Hawaii2017,Female,Pancreas,140,13.99,112,10.63,0.76,710227,13.43,3.21,3.21,7.88,13.08,21.88,20.06,19.56,5.24,65.97,170.91,63.26,12.83,15.85,27.03,27.03,9.02,66890,17.52,21.7,0.88,0.41,26.55,18.55,9.13,26.78,50.72,33.26,West
Hawaii,2017,Hawaii2017,Male,Colon and Rectum,381,45.17,112,12.66,0.28,715536,13.43,3.21,3.21,7.88,13.08,21.88,20.06,19.56,5.24,65.97,170.91,63.26,12.83,15.85,27.03,27.03,9.02,66890,17.52,21.7,0.88,0.41,26.55,18.55,9.13,26.78,50.72,33.26,West
Hawaii,2017,Hawaii2017,Male,Lung and Bronchus,489,55.48,324,37.54,0.68,715536,13.43,3.21,3.21,7.88,13.08,21.88,20.06,19.56,5.24,65.97,170.91,63.26,12.83,15.85,27.03,27.03,9.02,66890,17.52,21.7,0.88,0.41,26.55,18.55,9.13,26.78,50.72,33.26,West
Hawaii,2017,Hawaii2017,Male,Pancreas,140,16.28,113,13.05,0.8,715536,13.43,3.21,3.21,7.88,13.08,21.88,20.06,19.56,5.24,65.97,170.91,63.26,12.83,15.85,27.03,27.03,9.02,66890,17.52,21.7,0.88,0.41,26.55,18.55,9.13,26.78,50.72,33.26,West
Hawaii,2018,Hawaii2018,Female,Colon and Rectum,286,29.07,81,7.27,0.25,709720,13.43,3.21,3.21,7.99,13.08,22.82,19.36,19.56,4.75,66.76,177.49,37.5,2.49,13.9,8.565506445672192,25.41,10.16,72186,17.4,22.54,0.88,0.38,26.82,18.1,9.22,26.83,50.61,33.26,West
Hawaii,2018,Hawaii2018,Female,Lung and Bronchus,372,35.12,241,22.04,0.63,709720,13.43,3.21,3.21,7.99,13.08,22.82,19.36,19.56,4.75,66.76,177.49,37.5,2.49,13.9,8.565506445672192,25.41,10.16,72186,17.4,22.54,0.88,0.38,26.82,18.1,9.22,26.83,50.61,33.26,West
Hawaii,2018,Hawaii2018,Female,Pancreas,107,10.05,93,8.55,0.85,709720,13.43,3.21,3.21,7.99,13.08,22.82,19.36,19.56,4.75,66.76,177.49,37.5,2.49,13.9,8.565506445672192,25.41,10.16,72186,17.4,22.54,0.88,0.38,26.82,18.1,9.22,26.83,50.61,33.26,West
Hawaii,2018,Hawaii2018,Male,Colon and Rectum,390,45.51,129,14.91,0.33,713382,13.43,3.21,3.21,7.99,13.08,22.82,19.36,19.56,4.75,66.76,177.49,37.5,2.49,13.9,8.565506445672192,25.41,10.16,72186,17.4,22.54,0.88,0.38,26.82,18.1,9.22,26.83,50.61,33.26,West
Hawaii,2018,Hawaii2018,Male,Lung and Bronchus,454,49.35,276,30.42,0.62,713382,13.43,3.21,3.21,7.99,13.08,22.82,19.36,19.56,4.75,66.76,177.49,37.5,2.49,13.9,8.565506445672192,25.41,10.16,72186,17.4,22.54,0.88,0.38,26.82,18.1,9.22,26.83,50.61,33.26,West
Hawaii,2018,Hawaii2018,Male,Pancreas,140,15.87,100,11.29,0.71,713382,13.43,3.21,3.21,7.99,13.08,22.82,19.36,19.56,4.75,66.76,177.49,37.5,2.49,13.9,8.565506445672192,25.41,10.16,72186,17.4,22.54,0.88,0.38,26.82,18.1,9.22,26.83,50.61,33.26,West
Hawaii,2019,Hawaii2019,Female,Colon and Rectum,321,33.26,116,10.88,0.33,706419,14.16,3.43,3.23,8.28,12.79,23.7,20.5,21.13,4.63,87.56,249.21,42.0,2.45,11.8,8.565506445672192,27.07,10.3,80527,21.36,18.37,1.97,0.4,37.64,10.19,10.66,21.76,49.95,8.07,West
Hawaii,2019,Hawaii2019,Female,Lung and Bronchus,390,37.16,246,22.59,0.61,706419,14.16,3.43,3.23,8.28,12.79,23.7,20.5,21.13,4.63,87.56,249.21,42.0,2.45,11.8,8.565506445672192,27.07,10.3,80527,21.36,18.37,1.97,0.4,37.64,10.19,10.66,21.76,49.95,8.07,West
Hawaii,2019,Hawaii2019,Female,Pancreas,122,11.15,101,9.14,0.82,706419,14.16,3.43,3.23,8.28,12.79,23.7,20.5,21.13,4.63,87.56,249.21,42.0,2.45,11.8,8.565506445672192,27.07,10.3,80527,21.36,18.37,1.97,0.4,37.64,10.19,10.66,21.76,49.95,8.07,West
Hawaii,2019,Hawaii2019,Male,Colon and Rectum,395,45.18,132,14.86,0.33,709196,14.16,3.43,3.23,8.28,12.79,23.7,20.5,21.13,4.63,87.56,249.21,42.0,2.45,11.8,8.565506445672192,27.07,10.3,80527,21.36,18.37,1.97,0.4,37.64,10.19,10.66,21.76,49.95,8.07,West
Hawaii,2019,Hawaii2019,Male,Lung and Bronchus,438,47.67,297,32.36,0.68,709196,14.16,3.43,3.23,8.28,12.79,23.7,20.5,21.13,4.63,87.56,249.21,42.0,2.45,11.8,8.565506445672192,27.07,10.3,80527,21.36,18.37,1.97,0.4,37.64,10.19,10.66,21.76,49.95,8.07,West
Hawaii,2019,Hawaii2019,Male,Pancreas,133,14.55,109,12.1,0.83,709196,14.16,3.43,3.23,8.28,12.79,23.7,20.5,21.13,4.63,87.56,249.21,42.0,2.45,11.8,8.565506445672192,27.07,10.3,80527,21.36,18.37,1.97,0.4,37.64,10.19,10.66,21.76,49.95,8.07,West
Hawaii,2020,Hawaii2020,Female,Colon and Rectum,297,31.84,97,8.47,0.27,702640,15.43,3.22,3.38,8.31,14.39,24.6,19.6,22.95,4.72,88.7,260.83,41.0,2.71,11.2,4.3,26.72,11.1,83734,21.18,18.96,1.96,0.39,37.59,10.14,10.66,21.66,49.99,8.07,West
Hawaii,2020,Hawaii2020,Female,Lung and Bronchus,358,33.02,212,18.08,0.55,702640,15.43,3.22,3.38,8.31,14.39,24.6,19.6,22.95,4.72,88.7,260.83,41.0,2.71,11.2,4.3,26.72,11.1,83734,21.18,18.96,1.96,0.39,37.59,10.14,10.66,21.66,49.99,8.07,West
Hawaii,2020,Hawaii2020,Female,Pancreas,119,10.5,103,9.1,0.87,702640,15.43,3.22,3.38,8.31,14.39,24.6,19.6,22.95,4.72,88.7,260.83,41.0,2.71,11.2,4.3,26.72,11.1,83734,21.18,18.96,1.96,0.39,37.59,10.14,10.66,21.66,49.99,8.07,West
Hawaii,2020,Hawaii2020,Male,Colon and Rectum,363,42.15,132,14.61,0.35,704366,15.43,3.22,3.38,8.31,14.39,24.6,19.6,22.95,4.72,88.7,260.83,41.0,2.71,11.2,4.3,26.72,11.1,83734,21.18,18.96,1.96,0.39,37.59,10.14,10.66,21.66,49.99,8.07,West
Hawaii,2020,Hawaii2020,Male,Lung and Bronchus,353,37.24,274,29.21,0.78,704366,15.43,3.22,3.38,8.31,14.39,24.6,19.6,22.95,4.72,88.7,260.83,41.0,2.71,11.2,4.3,26.72,11.1,83734,21.18,18.96,1.96,0.39,37.59,10.14,10.66,21.66,49.99,8.07,West
Hawaii,2020,Hawaii2020,Male,Pancreas,142,15.45,123,13.41,0.87,704366,15.43,3.22,3.38,8.31,14.39,24.6,19.6,22.95,4.72,88.7,260.83,41.0,2.71,11.2,4.3,26.72,11.1,83734,21.18,18.96,1.96,0.39,37.59,10.14,10.66,21.66,49.99,8.07,West
Idaho,2010,Idaho2010,Female,Colon and Rectum,255,29.9,90,10.28,0.34,783970,15.79,3.61,3.36,6.59,18.21,26.51,22.94,14.3,22.59,46.28,5.11,57.53,8.05,18.81,9.82,28.29,8.57,44286,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2010,Idaho2010,Female,Lung and Bronchus,410,47.97,261,30.52,0.64,783970,15.79,3.61,3.36,6.59,18.21,26.51,22.94,14.3,22.59,46.28,5.11,57.53,8.05,18.81,9.82,28.29,8.57,44286,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2010,Idaho2010,Female,Pancreas,104,12.57,74,8.9,0.71,783970,15.79,3.61,3.36,6.59,18.21,26.51,22.94,14.3,22.59,46.28,5.11,57.53,8.05,18.81,9.82,28.29,8.57,44286,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2010,Idaho2010,Male,Colon and Rectum,317,41.52,122,16.8,0.4,786849,15.79,3.61,3.36,6.59,18.21,26.51,22.94,14.3,22.59,46.28,5.11,57.53,8.05,18.81,9.82,28.29,8.57,44286,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2010,Idaho2010,Male,Lung and Bronchus,428,57.54,351,48.05,0.84,786849,15.79,3.61,3.36,6.59,18.21,26.51,22.94,14.3,22.59,46.28,5.11,57.53,8.05,18.81,9.82,28.29,8.57,44286,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2010,Idaho2010,Male,Pancreas,102,13.69,108,14.36,1.05,786849,15.79,3.61,3.36,6.59,18.21,26.51,22.94,14.3,22.59,46.28,5.11,57.53,8.05,18.81,9.82,28.29,8.57,44286,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2011,Idaho2011,Female,Colon and Rectum,306,35.51,99,11.35,0.32,790969,15.78,3.59,3.33,6.59,17.68,27.61,23.53,14.08,21.94,49.66,2.92,59.6,9.68,21.8,9.82,27.8,8.87,41749,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2011,Idaho2011,Female,Lung and Bronchus,421,48.7,282,31.98,0.66,790969,15.78,3.59,3.33,6.59,17.68,27.61,23.53,14.08,21.94,49.66,2.92,59.6,9.68,21.8,9.82,27.8,8.87,41749,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2011,Idaho2011,Female,Pancreas,97,10.97,76,8.51,0.78,790969,15.78,3.59,3.33,6.59,17.68,27.61,23.53,14.08,21.94,49.66,2.92,59.6,9.68,21.8,9.82,27.8,8.87,41749,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2011,Idaho2011,Male,Colon and Rectum,337,43.11,121,16.44,0.38,793303,15.78,3.59,3.33,6.59,17.68,27.61,23.53,14.08,21.94,49.66,2.92,59.6,9.68,21.8,9.82,27.8,8.87,41749,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2011,Idaho2011,Male,Lung and Bronchus,440,57.55,337,45.06,0.78,793303,15.78,3.59,3.33,6.59,17.68,27.61,23.53,14.08,21.94,49.66,2.92,59.6,9.68,21.8,9.82,27.8,8.87,41749,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2011,Idaho2011,Male,Pancreas,98,12.57,84,11.25,0.9,793303,15.78,3.59,3.33,6.59,17.68,27.61,23.53,14.08,21.94,49.66,2.92,59.6,9.68,21.8,9.82,27.8,8.87,41749,26.41,14.28,0.54,1.83,0.63,0.1,11.64,85.26,49.39,62.58,West
Idaho,2012,Idaho2012,Female,Colon and Rectum,299,33.95,104,11.82,0.35,796813,15.9,3.69,3.31,6.63,17.18,27.59,23.46,13.88,23.1,50.63,16.92,57.45,9.14,23.59,8.11,28.93,8.85,42170,26.11,15.34,0.41,1.88,0.76,0.14,12.05,83.85,49.12,60.75,West
Idaho,2012,Idaho2012,Female,Lung and Bronchus,455,50.12,295,32.82,0.65,796813,15.9,3.69,3.31,6.63,17.18,27.59,23.46,13.88,23.1,50.63,16.92,57.45,9.14,23.59,8.11,28.93,8.85,42170,26.11,15.34,0.41,1.88,0.76,0.14,12.05,83.85,49.12,60.75,West
Idaho,2012,Idaho2012,Female,Pancreas,100,10.96,83,9.15,0.83,796813,15.9,3.69,3.31,6.63,17.18,27.59,23.46,13.88,23.1,50.63,16.92,57.45,9.14,23.59,8.11,28.93,8.85,42170,26.11,15.34,0.41,1.88,0.76,0.14,12.05,83.85,49.12,60.75,West
Idaho,2012,Idaho2012,Male,Colon and Rectum,304,37.88,130,16.22,0.43,799097,15.9,3.69,3.31,6.63,17.18,27.59,23.46,13.88,23.1,50.63,16.92,57.45,9.14,23.59,8.11,28.93,8.85,42170,26.11,15.34,0.41,1.88,0.76,0.14,12.05,83.85,49.12,60.75,West
Idaho,2012,Idaho2012,Male,Lung and Bronchus,446,56.78,325,41.02,0.72,799097,15.9,3.69,3.31,6.63,17.18,27.59,23.46,13.88,23.1,50.63,16.92,57.45,9.14,23.59,8.11,28.93,8.85,42170,26.11,15.34,0.41,1.88,0.76,0.14,12.05,83.85,49.12,60.75,West
Idaho,2012,Idaho2012,Male,Pancreas,124,14.96,108,13.01,0.87,799097,15.9,3.69,3.31,6.63,17.18,27.59,23.46,13.88,23.1,50.63,16.92,57.45,9.14,23.59,8.11,28.93,8.85,42170,26.11,15.34,0.41,1.88,0.76,0.14,12.05,83.85,49.12,60.75,West
Idaho,2013,Idaho2013,Female,Colon and Rectum,262,29.68,102,11.03,0.37,804640,16.02,3.73,3.45,6.62,16.75,27.64,22.66,14.43,21.73,52.51,69.57,54.61,7.59,23.21,10.04,14.89,9.43,43438,25.68,16.1,0.36,1.89,0.73,0.13,12.01,84.02,49.1,61.47,West
Idaho,2013,Idaho2013,Female,Lung and Bronchus,418,46.09,281,30.35,0.66,804640,16.02,3.73,3.45,6.62,16.75,27.64,22.66,14.43,21.73,52.51,69.57,54.61,7.59,23.21,10.04,14.89,9.43,43438,25.68,16.1,0.36,1.89,0.73,0.13,12.01,84.02,49.1,61.47,West
